real depth, d415 depth
1.992,1.9880993920701046
2.558,2.5404029706312734
2.985,2.9725036511523113
3.527,3.4878545923196116
4.070,4.03133506798143
4.510,4.56228738127662
5.087,5.127112535191433
5.475,5.535582692315082
5.994,6.054695008554437
6.515,6.554622930375487
7.030,7.157222088072445
7.502,7.536735103861812
8.129,8.338981920805644
8.517,8.685901587771843
9.015,9.04423812957824
9.488,9.648892040861278
10.061,10.407480630604022
10.569,10.725079824941739
11.099,11.170911084403782
11.564,11.780201257110646
12.001,12.469423824903629
12.480,12.848159677006514
13.007,13.206286182820461
13.543,13.874753963681625
14.012,14.359411616453091
14.509,14.759785256607703
15.045,15.539309180461
